,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,
Europe," Poland, Lower Silesia",6851,90.9 (1.10),55.0 (0.71),..," Poland, Lower Silesia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Lower Silesia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Lower Silesia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Lower Silesia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Lower Silesia",4,0.8 (0.38),0.8 (0.38),0.00 (0.002)," Poland, Lower Silesia",41,6.6 (1.03),6.6 (1.03),0.03 (0.005)," Poland, Lower Silesia",111,18.8 (1.78),18.8 (1.78),0.09 (0.009)," Poland, Lower Silesia",192,38.3 (2.77),38.3 (2.77),0.19 (0.014)," Poland, Lower Silesia",312,74.1 (4.20),74.1 (4.20),0.37 (0.021)," Poland, Lower Silesia",605,127.3 (5.18),127.3 (5.18),0.64 (0.026)," Poland, Lower Silesia",989,162.6 (5.17),162.6 (5.17),0.81 (0.026)," Poland, Lower Silesia",1175,186.3 (5.44),186.3 (5.44),0.93 (0.027)," Poland, Lower Silesia",1122,231.1 (6.90),231.1 (6.90),1.16 (0.035)," Poland, Lower Silesia",710,242.1 (9.09),242.1 (9.09),1.21 (0.045)," Poland, Lower Silesia",557,179.2 (7.59),179.2 (7.59),0.90 (0.038)," Poland, Lower Silesia",514,178.8 (7.88),178.8 (7.88),0.89 (0.039)," Poland, Lower Silesia",335,150.8 (8.24),150.8 (8.24),0.75 (0.041)," Poland, Lower Silesia",184,131.1 (9.67),131.1 (9.67),..,
Europe,"*Poland, Lublin",4163,74.4 (1.15),47.1 (0.78),..,"*Poland, Lublin",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Poland, Lublin",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Poland, Lublin",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Poland, Lublin",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Poland, Lublin",2,0.5 (0.33),0.5 (0.33),0.00 (0.002),"*Poland, Lublin",27,6.2 (1.19),6.2 (1.19),0.03 (0.006),"*Poland, Lublin",45,11.4 (1.71),11.4 (1.71),0.06 (0.009),"*Poland, Lublin",123,34.4 (3.10),34.4 (3.10),0.17 (0.015),"*Poland, Lublin",237,72.1 (4.68),72.1 (4.68),0.36 (0.023),"*Poland, Lublin",345,98.8 (5.32),98.8 (5.32),0.49 (0.027),"*Poland, Lublin",637,156.8 (6.21),156.8 (6.21),0.78 (0.031),"*Poland, Lublin",643,160.3 (6.32),160.3 (6.32),0.80 (0.032),"*Poland, Lublin",622,188.6 (7.56),188.6 (7.56),0.94 (0.038),"*Poland, Lublin",513,214.9 (9.49),214.9 (9.49),1.07 (0.047),"*Poland, Lublin",315,135.4 (7.63),135.4 (7.63),0.68 (0.038),"*Poland, Lublin",318,144.2 (8.09),144.2 (8.09),0.72 (0.040),"*Poland, Lublin",223,129.5 (8.67),129.5 (8.67),0.65 (0.043),"*Poland, Lublin",113,96.4 (9.07),96.4 (9.07),..,
Europe," Poland, Podkarpackie",3408,62.9 (1.08),41.2 (0.75),..," Poland, Podkarpackie",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Podkarpackie",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Podkarpackie",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Podkarpackie",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Poland, Podkarpackie",1,0.2 (0.23),0.2 (0.23),0.00 (0.001)," Poland, Podkarpackie",12,2.7 (0.79),2.7 (0.79),0.01 (0.004)," Poland, Podkarpackie",53,13.1 (1.80),13.1 (1.80),0.07 (0.009)," Poland, Podkarpackie",115,31.5 (2.94),31.5 (2.94),0.16 (0.015)," Poland, Podkarpackie",169,50.6 (3.90),50.6 (3.90),0.25 (0.019)," Poland, Podkarpackie",333,95.5 (5.24),95.5 (5.24),0.48 (0.026)," Poland, Podkarpackie",493,130.7 (5.89),130.7 (5.89),0.65 (0.029)," Poland, Podkarpackie",513,143.8 (6.35),143.8 (6.35),0.72 (0.032)," Poland, Podkarpackie",471,164.0 (7.56),164.0 (7.56),0.82 (0.038)," Poland, Podkarpackie",353,171.4 (9.12),171.4 (9.12),0.86 (0.046)," Poland, Podkarpackie",304,141.1 (8.09),141.1 (8.09),0.71 (0.040)," Poland, Podkarpackie",294,150.8 (8.79),150.8 (8.79),0.75 (0.044)," Poland, Podkarpackie",182,128.5 (9.52),128.5 (9.52),0.64 (0.048)," Poland, Podkarpackie",115,119.3 (11.12),119.3 (11.12),..,
Europe, Greater Poland,7710,87.5 (1.00),56.7 (0.68),.., Greater Poland,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Greater Poland,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Greater Poland,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Greater Poland,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Greater Poland,5,0.8 (0.34),0.8 (0.34),0.00 (0.002), Greater Poland,31,4.2 (0.76),4.2 (0.76),0.02 (0.004), Greater Poland,138,19.7 (1.68),19.7 (1.68),0.10 (0.008), Greater Poland,249,40.8 (2.58),40.8 (2.58),0.20 (0.013), Greater Poland,424,80.5 (3.91),80.5 (3.91),0.40 (0.020), Greater Poland,706,127.3 (4.79),127.3 (4.79),0.64 (0.024), Greater Poland,1109,170.1 (5.11),170.1 (5.11),0.85 (0.026), Greater Poland,1184,183.9 (5.34),183.9 (5.34),0.92 (0.027), Greater Poland,1305,240.1 (6.65),240.1 (6.65),1.20 (0.033), Greater Poland,818,250.2 (8.75),250.2 (8.75),1.25 (0.044), Greater Poland,555,174.0 (7.39),174.0 (7.39),0.87 (0.037), Greater Poland,544,193.6 (8.30),193.6 (8.30),0.97 (0.042), Greater Poland,385,187.6 (9.56),187.6 (9.56),0.94 (0.048), Greater Poland,257,168.8 (10.53),168.8 (10.53),..,
Europe," Portugal, Azores",493,98.4 (4.43),67.1 (3.18),..," Portugal, Azores",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Portugal, Azores",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Portugal, Azores",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Portugal, Azores",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Portugal, Azores",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Portugal, Azores",5,13.4 (6.00),13.4 (6.00),0.07 (0.030)," Portugal, Azores",8,19.6 (6.94),19.6 (6.94),0.10 (0.035)," Portugal, Azores",19,49.6 (11.38),49.6 (11.38),0.25 (0.057)," Portugal, Azores",31,88.2 (15.84),88.2 (15.84),0.44 (0.079)," Portugal, Azores",58,160.8 (21.11),160.8 (21.11),0.80 (0.106)," Portugal, Azores",62,198.1 (25.15),198.1 (25.15),0.99 (0.126)," Portugal, Azores",59,223.9 (29.15),223.9 (29.15),1.12 (0.146)," Portugal, Azores",49,216.1 (30.87),216.1 (30.87),1.08 (0.154)," Portugal, Azores",61,308.0 (39.43),308.0 (39.43),1.54 (0.197)," Portugal, Azores",46,252.2 (37.18),252.2 (37.18),1.26 (0.186)," Portugal, Azores",41,242.8 (37.93),242.8 (37.93),1.21 (0.190)," Portugal, Azores",24,207.8 (42.42),207.8 (42.42),1.04 (0.212)," Portugal, Azores",30,338.0 (61.70),338.0 (61.70),..,
Europe," Russian Federation, Arkhangelsk",2163,65.6 (1.41),39.3 (0.90),..," Russian Federation, Arkhangelsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Arkhangelsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Arkhangelsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Arkhangelsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Arkhangelsk",2,0.8 (0.58),0.8 (0.58),0.00 (0.003)," Russian Federation, Arkhangelsk",8,3.2 (1.12),3.2 (1.12),0.02 (0.006)," Russian Federation, Arkhangelsk",31,12.8 (2.30),12.8 (2.30),0.06 (0.012)," Russian Federation, Arkhangelsk",56,26.0 (3.47),26.0 (3.47),0.13 (0.017)," Russian Federation, Arkhangelsk",134,66.2 (5.72),66.2 (5.72),0.33 (0.029)," Russian Federation, Arkhangelsk",197,79.1 (5.64),79.1 (5.64),0.40 (0.028)," Russian Federation, Arkhangelsk",303,107.0 (6.15),107.0 (6.15),0.54 (0.031)," Russian Federation, Arkhangelsk",342,129.5 (7.00),129.5 (7.00),0.65 (0.035)," Russian Federation, Arkhangelsk",316,179.1 (10.07),179.1 (10.07),0.90 (0.050)," Russian Federation, Arkhangelsk",185,144.5 (10.63),144.5 (10.63),0.72 (0.053)," Russian Federation, Arkhangelsk",252,157.2 (9.90),157.2 (9.90),0.79 (0.050)," Russian Federation, Arkhangelsk",169,147.6 (11.35),147.6 (11.35),0.74 (0.057)," Russian Federation, Arkhangelsk",118,142.4 (13.11),142.4 (13.11),0.71 (0.066)," Russian Federation, Arkhangelsk",50,124.1 (17.56),124.1 (17.56),..,
Europe," Russian Federation, Chelyabinsk",7453,78.9 (0.91),47.6 (0.59),..," Russian Federation, Chelyabinsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Chelyabinsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Chelyabinsk",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Chelyabinsk",2,0.4 (0.26),0.4 (0.26),0.00 (0.001)," Russian Federation, Chelyabinsk",4,0.5 (0.27),0.5 (0.27),0.00 (0.001)," Russian Federation, Chelyabinsk",33,4.5 (0.79),4.5 (0.79),0.02 (0.004)," Russian Federation, Chelyabinsk",116,17.1 (1.59),17.1 (1.59),0.09 (0.008)," Russian Federation, Chelyabinsk",222,35.5 (2.38),35.5 (2.38),0.18 (0.012)," Russian Federation, Chelyabinsk",392,69.3 (3.50),69.3 (3.50),0.35 (0.017)," Russian Federation, Chelyabinsk",715,104.6 (3.91),104.6 (3.91),0.52 (0.020)," Russian Federation, Chelyabinsk",963,128.3 (4.14),128.3 (4.14),0.64 (0.021)," Russian Federation, Chelyabinsk",1207,167.8 (4.83),167.8 (4.83),0.84 (0.024)," Russian Federation, Chelyabinsk",1031,200.9 (6.26),200.9 (6.26),1.00 (0.031)," Russian Federation, Chelyabinsk",680,178.3 (6.84),178.3 (6.84),0.89 (0.034)," Russian Federation, Chelyabinsk",970,192.7 (6.19),192.7 (6.19),0.96 (0.031)," Russian Federation, Chelyabinsk",547,167.9 (7.18),167.9 (7.18),0.84 (0.036)," Russian Federation, Chelyabinsk",413,161.1 (7.93),161.1 (7.93),0.81 (0.040)," Russian Federation, Chelyabinsk",158,137.2 (10.91),137.2 (10.91),..,
Europe,"*Russian Federation, Karelia",1328,74.5 (2.04),44.7 (1.30),..,"*Russian Federation, Karelia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Russian Federation, Karelia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Russian Federation, Karelia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Russian Federation, Karelia",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Russian Federation, Karelia",2,1.5 (1.07),1.5 (1.07),0.01 (0.005),"*Russian Federation, Karelia",4,3.0 (1.51),3.0 (1.51),0.02 (0.008),"*Russian Federation, Karelia",25,19.7 (3.95),19.7 (3.95),0.10 (0.020),"*Russian Federation, Karelia",38,31.7 (5.14),31.7 (5.14),0.16 (0.026),"*Russian Federation, Karelia",63,55.8 (7.03),55.8 (7.03),0.28 (0.035),"*Russian Federation, Karelia",159,115.0 (9.12),115.0 (9.12),0.57 (0.046),"*Russian Federation, Karelia",178,115.9 (8.69),115.9 (8.69),0.58 (0.043),"*Russian Federation, Karelia",215,148.8 (10.15),148.8 (10.15),0.74 (0.051),"*Russian Federation, Karelia",192,195.4 (14.10),195.4 (14.10),0.98 (0.071),"*Russian Federation, Karelia",125,185.7 (16.61),185.7 (16.61),0.93 (0.083),"*Russian Federation, Karelia",148,158.5 (13.03),158.5 (13.03),0.79 (0.065),"*Russian Federation, Karelia",98,142.9 (14.44),142.9 (14.44),0.71 (0.072),"*Russian Federation, Karelia",52,114.9 (15.94),114.9 (15.94),0.57 (0.080),"*Russian Federation, Karelia",29,138.8 (25.78),138.8 (25.78),..,
Europe," Russian Federation, Samara",7597,87.9 (1.01),51.8 (0.63),..," Russian Federation, Samara",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Samara",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Samara",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Samara",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Russian Federation, Samara",8,1.2 (0.43),1.2 (0.43),0.01 (0.002)," Russian Federation, Samara",53,8.0 (1.10),8.0 (1.10),0.04 (0.006)," Russian Federation, Samara",133,21.1 (1.83),21.1 (1.83),0.11 (0.009)," Russian Federation, Samara",263,43.7 (2.70),43.7 (2.70),0.22 (0.013)," Russian Federation, Samara",417,75.9 (3.72),75.9 (3.72),0.38 (0.019)," Russian Federation, Samara",737,113.3 (4.17),113.3 (4.17),0.57 (0.021)," Russian Federation, Samara",964,139.3 (4.49),139.3 (4.49),0.70 (0.022)," Russian Federation, Samara",1175,175.1 (5.11),175.1 (5.11),0.88 (0.026)," Russian Federation, Samara",1069,209.7 (6.41),209.7 (6.41),1.05 (0.032)," Russian Federation, Samara",766,199.3 (7.20),199.3 (7.20),1.00 (0.036)," Russian Federation, Samara",979,211.4 (6.76),211.4 (6.76),1.06 (0.034)," Russian Federation, Samara",514,179.5 (7.92),179.5 (7.92),0.90 (0.040)," Russian Federation, Samara",362,151.3 (7.95),151.3 (7.95),0.76 (0.040)," Russian Federation, Samara",157,147.9 (11.81),147.9 (11.81),..,
Europe, Slovakia,8100,96.9 (1.08),60.4 (0.70),.., Slovakia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovakia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovakia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovakia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovakia,7,1.1 (0.42),1.1 (0.42),0.01 (0.002), Slovakia,28,4.2 (0.79),4.2 (0.79),0.02 (0.004), Slovakia,110,16.0 (1.52),16.0 (1.52),0.08 (0.008), Slovakia,213,35.8 (2.45),35.8 (2.45),0.18 (0.012), Slovakia,467,85.6 (3.96),85.6 (3.96),0.43 (0.020), Slovakia,707,123.6 (4.65),123.6 (4.65),0.62 (0.023), Slovakia,984,161.4 (5.14),161.4 (5.14),0.81 (0.026), Slovakia,1134,194.3 (5.77),194.3 (5.77),0.97 (0.029), Slovakia,1083,238.3 (7.24),238.3 (7.24),1.19 (0.036), Slovakia,993,269.9 (8.56),269.9 (8.56),1.35 (0.043), Slovakia,826,271.5 (9.45),271.5 (9.45),1.36 (0.047), Slovakia,707,266.9 (10.04),266.9 (10.04),1.33 (0.050), Slovakia,499,271.0 (12.13),271.0 (12.13),1.36 (0.061), Slovakia,342,279.6 (15.12),279.6 (15.12),..,
Europe, Slovenia,6036,116.8 (1.50),65.5 (0.91),.., Slovenia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovenia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovenia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovenia,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Slovenia,6,2.0 (0.80),2.0 (0.80),0.01 (0.004), Slovenia,22,6.3 (1.34),6.3 (1.34),0.03 (0.007), Slovenia,101,27.2 (2.70),27.2 (2.70),0.14 (0.014), Slovenia,172,48.0 (3.66),48.0 (3.66),0.24 (0.018), Slovenia,347,93.6 (5.03),93.6 (5.03),0.47 (0.025), Slovenia,541,141.3 (6.08),141.3 (6.08),0.71 (0.030), Slovenia,698,184.3 (6.97),184.3 (6.97),0.92 (0.035), Slovenia,756,205.7 (7.48),205.7 (7.48),1.03 (0.037), Slovenia,811,271.3 (9.53),271.3 (9.53),1.36 (0.048), Slovenia,726,278.8 (10.35),278.8 (10.35),1.39 (0.052), Slovenia,554,225.9 (9.60),225.9 (9.60),1.13 (0.048), Slovenia,569,253.8 (10.64),253.8 (10.64),1.27 (0.053), Slovenia,424,..,..,.., Slovenia,309,..,..,..,
Europe," Spain, Albacete",570,95.7 (4.01),58.4 (2.68),..," Spain, Albacete",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Albacete",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Albacete",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Albacete",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Albacete",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Albacete",1,2.4 (2.40),2.4 (2.40),0.01 (0.012)," Spain, Albacete",12,25.8 (7.45),25.8 (7.45),0.13 (0.037)," Spain, Albacete",33,71.3 (12.41),71.3 (12.41),0.36 (0.062)," Spain, Albacete",39,82.7 (13.24),82.7 (13.24),0.41 (0.066)," Spain, Albacete",73,165.9 (19.42),165.9 (19.42),0.83 (0.097)," Spain, Albacete",79,222.7 (25.06),222.7 (25.06),1.11 (0.125)," Spain, Albacete",46,157.1 (23.17),157.1 (23.17),0.79 (0.116)," Spain, Albacete",45,162.2 (24.18),162.2 (24.18),0.81 (0.121)," Spain, Albacete",46,178.5 (26.32),178.5 (26.32),0.89 (0.132)," Spain, Albacete",50,189.7 (26.83),189.7 (26.83),0.95 (0.134)," Spain, Albacete",56,207.1 (27.68),207.1 (27.68),1.04 (0.138)," Spain, Albacete",48,229.0 (33.05),229.0 (33.05),1.14 (0.165)," Spain, Albacete",42,243.5 (37.58),243.5 (37.58),..,
Europe," Spain, Asturias",2057,124.2 (2.74),64.2 (1.58),..," Spain, Asturias",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Asturias",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Asturias",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Asturias",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Asturias",1,1.3 (1.30),1.3 (1.30),0.01 (0.006)," Spain, Asturias",3,2.9 (1.65),2.9 (1.65),0.01 (0.008)," Spain, Asturias",43,33.8 (5.16),33.8 (5.16),0.17 (0.026)," Spain, Asturias",76,61.1 (7.01),61.1 (7.01),0.31 (0.035)," Spain, Asturias",152,126.1 (10.23),126.1 (10.23),0.63 (0.051)," Spain, Asturias",232,184.5 (12.12),184.5 (12.12),0.92 (0.061)," Spain, Asturias",248,197.8 (12.56),197.8 (12.56),0.99 (0.063)," Spain, Asturias",206,181.1 (12.62),181.1 (12.62),0.91 (0.063)," Spain, Asturias",207,194.8 (13.54),194.8 (13.54),0.97 (0.068)," Spain, Asturias",174,208.1 (15.78),208.1 (15.78),1.04 (0.079)," Spain, Asturias",162,187.0 (14.69),187.0 (14.69),0.93 (0.073)," Spain, Asturias",229,242.5 (16.02),242.5 (16.02),1.21 (0.080)," Spain, Asturias",172,226.4 (17.26),226.4 (17.26),1.13 (0.086)," Spain, Asturias",152,216.8 (17.58),216.8 (17.58),..,
Europe," Spain, Basque Country",6978,125.6 (1.50),69.7 (0.90),..," Spain, Basque Country",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Basque Country",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Basque Country",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Basque Country",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Basque Country",5,2.0 (0.90),2.0 (0.90),0.01 (0.005)," Spain, Basque Country",28,8.6 (1.62),8.6 (1.62),0.04 (0.008)," Spain, Basque Country",103,24.9 (2.46),24.9 (2.46),0.12 (0.012)," Spain, Basque Country",268,60.4 (3.69),60.4 (3.69),0.30 (0.018)," Spain, Basque Country",571,132.4 (5.54),132.4 (5.54),0.66 (0.028)," Spain, Basque Country",831,191.7 (6.65),191.7 (6.65),0.96 (0.033)," Spain, Basque Country",937,229.7 (7.50),229.7 (7.50),1.15 (0.038)," Spain, Basque Country",738,203.5 (7.49),203.5 (7.49),1.02 (0.037)," Spain, Basque Country",791,235.0 (8.35),235.0 (8.35),1.17 (0.042)," Spain, Basque Country",680,230.0 (8.82),230.0 (8.82),1.15 (0.044)," Spain, Basque Country",478,190.4 (8.71),190.4 (8.71),0.95 (0.044)," Spain, Basque Country",622,232.2 (9.31),232.2 (9.31),1.16 (0.047)," Spain, Basque Country",515,239.6 (10.56),239.6 (10.56),1.20 (0.053)," Spain, Basque Country",411,201.0 (9.91),201.0 (9.91),..,
Europe," Spain, Canary Islands",3455,98.3 (1.67),62.7 (1.11),..," Spain, Canary Islands",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Canary Islands",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Canary Islands",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Canary Islands",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Canary Islands",4,1.8 (0.92),1.8 (0.92),0.01 (0.005)," Spain, Canary Islands",19,7.0 (1.61),7.0 (1.61),0.04 (0.008)," Spain, Canary Islands",61,19.9 (2.55),19.9 (2.55),0.10 (0.013)," Spain, Canary Islands",154,48.0 (3.87),48.0 (3.87),0.24 (0.019)," Spain, Canary Islands",308,100.3 (5.71),100.3 (5.71),0.50 (0.029)," Spain, Canary Islands",418,150.0 (7.34),150.0 (7.34),0.75 (0.037)," Spain, Canary Islands",404,176.3 (8.77),176.3 (8.77),0.88 (0.044)," Spain, Canary Islands",385,195.8 (9.98),195.8 (9.98),0.98 (0.050)," Spain, Canary Islands",395,225.3 (11.34),225.3 (11.34),1.13 (0.057)," Spain, Canary Islands",398,263.5 (13.21),263.5 (13.21),1.32 (0.066)," Spain, Canary Islands",282,217.4 (12.95),217.4 (12.95),1.09 (0.065)," Spain, Canary Islands",305,263.0 (15.06),263.0 (15.06),1.32 (0.075)," Spain, Canary Islands",196,263.9 (18.85),263.9 (18.85),1.32 (0.094)," Spain, Canary Islands",126,204.9 (18.26),204.9 (18.26),..,
Europe," Spain, Castellon",1442,96.3 (2.54),61.0 (1.72),..," Spain, Castellon",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Castellon",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Castellon",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Castellon",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Castellon",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Castellon",5,4.5 (2.00),4.5 (2.00),0.02 (0.010)," Spain, Castellon",28,21.3 (4.02),21.3 (4.02),0.11 (0.020)," Spain, Castellon",64,51.2 (6.40),51.2 (6.40),0.26 (0.032)," Spain, Castellon",151,127.8 (10.40),127.8 (10.40),0.64 (0.052)," Spain, Castellon",180,170.3 (12.69),170.3 (12.69),0.85 (0.063)," Spain, Castellon",164,176.5 (13.78),176.5 (13.78),0.88 (0.069)," Spain, Castellon",121,147.9 (13.45),147.9 (13.45),0.74 (0.067)," Spain, Castellon",180,237.2 (17.68),237.2 (17.68),1.19 (0.088)," Spain, Castellon",151,228.8 (18.62),228.8 (18.62),1.14 (0.093)," Spain, Castellon",99,166.7 (16.75),166.7 (16.75),0.83 (0.084)," Spain, Castellon",102,172.9 (17.12),172.9 (17.12),0.86 (0.086)," Spain, Castellon",99,212.0 (21.31),212.0 (21.31),1.06 (0.107)," Spain, Castellon",98,230.1 (23.24),230.1 (23.24),..,
Europe," Spain, Ciudad Real",1037,98.6 (3.06),60.6 (2.06),..," Spain, Ciudad Real",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Ciudad Real",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Ciudad Real",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Ciudad Real",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Spain, Ciudad Real",1,1.5 (1.47),1.5 (1.47),0.01 (0.007)," Spain, Ciudad Real",7,9.7 (3.65),9.7 (3.65),0.05 (0.018)," Spain, Ciudad Real",23,29.8 (6.22),29.8 (6.22),0.15 (0.031)," Spain, Ciudad Real",38,49.0 (7.95),49.0 (7.95),0.24 (0.040)," Spain, Ciudad Real",92,115.7 (12.06),115.7 (12.06),0.58 (0.060)," Spain, Ciudad Real",121,158.2 (14.38),158.2 (14.38),0.79 (0.072)," Spain, Ciudad Real",126,194.5 (17.32),194.5 (17.32),0.97 (0.087)," Spain, Ciudad Real",87,166.0 (17.80),166.0 (17.80),0.83 (0.089)," Spain, Ciudad Real",101,198.1 (19.71),198.1 (19.71),0.99 (0.099)," Spain, Ciudad Real",98,211.4 (21.36),211.4 (21.36),1.06 (0.107)," Spain, Ciudad Real",100,205.5 (20.55),205.5 (20.55),1.03 (0.103)," Spain, Ciudad Real",87,169.8 (18.21),169.8 (18.21),0.85 (0.091)," Spain, Ciudad Real",84,208.6 (22.76),208.6 (22.76),1.04 (0.114)," Spain, Ciudad Real",72,210.7 (24.83),210.7 (24.83),..,
